pack_quantity,unit_type,normalized_price,calculation,confidence,notes,retailer_product_id,barcode,original_name,canonical_name,current_price,category,store_id
1,bottle,4.58,"The product name 'קמיל בלו סנס.אלסבון 500 ורוד' includes a volume measurement (500 ml), indicating it is a single bottle. No explicit pack quantity indicators are present, so the default is one bottle.",high,"The product is a liquid soap, typically sold in bottles, and the volume measurement confirms it is a single 500 ml bottle.",8552,7290002515333,קמיל בלו סנס.אלסבון 500 ורוד,סנסיטיב אל סבון עדין לתינוק (₪4.58 ל-),4.58,תינוקות ופעוטות/רחצת תינוקות/סבון רחצה לתינוק,52001
1,bottle,33.93,"The product name 'אלביב סרום חומצה היאלורונית 150 מל' contains a volume measurement (150 מל), indicating it is a single bottle of serum. No other pack indicators are present.",high,"The volume measurement clearly indicates a single bottle, aligning with the rules for volume-based products.",8553,3600524051563,אלביב סרום חומצה היאלורונית 150 מל,לשיער עם חומצה היאלורונית ללחות מוגברת (₪33.93 ל-),33.93,טיפוח/טיפוח שיער/תכשירים לטיפול וטיפוח השיער/סרום ואמפולות טיפוליות לשיער,52001
1,package,159.8,"The product name 'AXIS-Y מקדם הגנה פיזיקאלי SPF 50+' does not contain any explicit pack quantity indicators or volume/weight measurements. Therefore, it is assumed to be a single package.",medium,"The product is a sunscreen, typically sold as a single unit unless otherwise specified.",8554,8809634610119,AXIS-Y מקדם הגנה פיזיקאלי SPF 50+,AXIS-Y מקדם הגנה פיזיקאלי SPF 50+ (₪159.80 ל-),159.8,קוסמטיקה/טיפוח מותגי קוסמטיקה/הגנה מפני השמש,52001
1,bottle,4.27,"The product name contains a volume measurement '700 מל', indicating it is a single 700ml bottle. No other pack indicators are present.",high,"The product is a body cream with a specified volume, treated as a single bottle.",8558,7290012367700,אפקטיב קר שבולת שועל  קרם גוף 700 מל,"ד""ר פישר אפקטיב קר קרם גוף אינטנסיב רליף לעור יבש ומגורה (₪4.27 ל-)",4.27,טיפוח/טיפוח גוף/קרם גוף,52001
1,bottle,45.9,"The product name 'ליבס שמן קיק 100% טהור 100 מל' includes a volume measurement of 100 מל, indicating it is a single bottle of castor oil. No other pack indicators are present.",high,"The volume measurement '100 מל' confirms it is a single bottle, aligning with the rules for volume-based products.",8559,7290119020409,ליבס שמן קיק 100% טהור 100 מל,שמן קיק 100% טהור (₪45.90 ל-),45.9,טיפוח/טיפוח שיער,52001
1,bottle,85.95,"The product name does not contain explicit pack quantity indicators such as units or capsules. It is a spray product, which typically comes in a single bottle. Therefore, it is assumed to be one bottle.",high,"The product is a sun protection spray for babies and children, which is typically sold as a single bottle.",8561,3504105036751,מוסטלה ספריי הגנה SPF50 לתינוקות וילדים,להגנה גבוהה מהשמש לתינוקות וילדים SPF50 (₪85.95 ל-),85.95,טיפוח/הגנה מהשמש,52001
1,bottle,70.0,"The product name 'קליניק סבון נוזלי לפנים לעור שמן' does not contain any explicit pack quantity indicators. It is a liquid facial soap, which is typically sold by volume. Therefore, it is assumed to be one bottle. The current price is for one bottle.",high,"The product is a liquid soap, which is typically sold in bottles. No explicit pack indicators were found, and the product is likely sold as a single bottle.",8566,020714227685,קליניק סבון נוזלי לפנים לעור שמן,LIQUID FACIAL סבון פנים לעור שמן (₪70 ל-),70.0,קוסמטיקה/טיפוח מותגי קוסמטיקה/ניקוי פנים,52001
2,pair,45.9,"The product name includes 'זוג', which indicates a pair. Therefore, pack_quantity is 2. The current price is per unit, so the normalized price is 22.95 × 2.",high,"The term 'זוג' clearly indicates that the product is sold as a pair, making the calculation straightforward.",8567,4008600402145,נוק זוג מוצצים סטאר 0-6 חודשים כחול,סטאר 0-6 חודשים כחול (₪22.95 ליחידה),22.95,תינוקות ופעוטות/מוצצים ונשכנים/מוצצי סיליקון,52001
1,bottle,6.76,"The product name contains 'מילוי' which suggests it is a refill, typically sold as a single unit. No explicit pack indicators are present, and the product is likely a single refill bottle.",high,"The product is a refill for an automatic air freshener, typically sold as a single unit.",8568,7290108352337,סנופרש הום מבשם אויר מילוי אוט מלון מפנק,הום מבשם אויר מילוי למכשיר אוטומטי בניחוח מלון מפנק (₪6.76 ל-),6.76,לבית/ניקיון ותחזוקת הבית/מפיצי ריח ומטהרי אוויר/מילוי למטהרי אוויר,52001
90,capsule,90.9,"The product name 'אקסטרה לקס 90 כמוסות' explicitly states 90 capsules. The current price is ₪1.01 per capsule, so the normalized price is 90 capsules × ₪1.01 per capsule = ₪90.9.",high,"The product name clearly indicates the number of capsules, and the per-unit pricing matches this interpretation.",8569,7290018365922,אקסטרה לקס 90 כמוסות,אקסטרה לקס 90 כמוסות (₪1.01 ליחידה),1.01,בריאות/תוספי תזונה/עיכול/עצירות,52001
1,package,24.83,"The product name 'לייף אול אין עוגיית חלבון דאבל שוקולד-60' does not contain explicit pack quantity indicators such as units, capsules, or wipes. The number '60' appears to be related to weight (grams) or volume, which are not considered for pack quantity. Therefore, it is assumed to be a single package.",medium,"The product name suggests it is a single protein cookie, likely weighing 60 grams, but without explicit pack indicators, we assume a single package.",8570,7290118201069,לייף אול אין עוגיית חלבון דאבל שוקולד-60,אין עוגיית חלבון בטעם דאבל שוקולד (₪24.83 ל-),24.83,מזון ומשקאות/דגנים וחטיפים/חטיפי חלבון,52001
